# Time : Sun Sep 13 23:31:49 2015#
# scanner : True 
# color_dur : 0.333333333333 
# screen_number : 1 
# sf : 10 
# block_duration : 60 
# subject : EG009 
# radial_cyc : 10 
# fixation_size : 0.4 
# temporal_freq : 2 
# angular_cyc : 15 
# monitor : testMonitor 
# angular_width : 30 
# n_blocks : 20 
# full_screen : True 
# size : 60 
time,event 
56.3202202042,key pressed 
52.4865170229,key pressed 
52.200509056,key pressed 
52.1831494803,key pressed 
51.9149205426,key pressed 
51.8643424776,key pressed 
51.5965660142,key pressed 
51.4627589958,key pressed 
51.4627589958,key pressed 
51.2449648842,key pressed 
51.1265683212,key pressed 
51.0083828237,key pressed 
50.6891121909,key pressed 
50.5876619972,key pressed 
50.5376774144,key pressed 
50.4538183882,key pressed 
48.7191709456,key pressed 
48.6519834129,key pressed 
48.5843982917,key pressed 
48.5509267915,key pressed 
48.2471415803,key pressed 
48.1804605154,key pressed 
48.1124639727,key pressed 
47.7774923907,key pressed 
47.6769502693,key pressed 
47.6597352713,key pressed 
47.5581119414,key pressed 
